dcterms_identifier|dc_contributor|iri|contactURL|morphbankUserID|dcterms_modified|type
phoebusp|Patrick Phoebus|http://bioimages.vanderbilt.edu/contact/uri#phoebusp|http://bioimages.vanderbilt.edu/contact/uri||2016-03-27T11:39:50-05:00|Person
0000-0001-6652-928X|Alice Irizarry|http://orcid.org/0000-0001-6652-928X|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0001-8514-0325|Vamsi Subraveti|http://orcid.org/0000-0001-8514-0325|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-0743-9409|Anna Ledeczi|http://orcid.org/0000-0002-0743-9409|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-1682-1167|Zach Taylor|http://orcid.org/0000-0002-1682-1167|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-1944-1004|Anna Reside|http://orcid.org/0000-0002-1944-1004|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-2221-4638|Helena Makendengue|http://orcid.org/0000-0002-2221-4638|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-5562-6882|Anveetha Matta|http://orcid.org/0000-0002-5562-6882|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-6098-1926|Sophia Chen|http://orcid.org/0000-0002-6098-1926|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-6954-4108|Safa Figal|http://orcid.org/0000-0002-6954-4108|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
0000-0002-9131-7024|Aditya Srivastava|http://orcid.org/0000-0002-9131-7024|http://theschool.vanderbilt.edu/contact/||2015-04-06T15:08:16-05:00|Person
andersonwb|Wendy B. Anderson|http://bioimages.vanderbilt.edu/contact/uri#andersonwb|http://www.drury.edu/multinl/story.cfm?nlid=131&id=12958|819852|2015-04-06T15:08:16-05:00|Person
anonymous000|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous000|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
anonymous002|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous002|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
anonymous003|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous003|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
anonymous004|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous004|http://bioimages.vanderbilt.edu/contact/uri||2015-11-21T10:46:45-06:00|Person
anonymous005|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous005|http://bioimages.vanderbilt.edu/contact/uri||2015-11-21T10:47:20-06:00|Person
anonymous006|anonymous|http://bioimages.vanderbilt.edu/contact/uri#anonymous006|http://bioimages.vanderbilt.edu/contact/uri||2015-11-21T10:47:48-06:00|Person
barberr|Randall Barber|http://bioimages.vanderbilt.edu/contact/uri#barberr|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
baskauf|Steven J. Baskauf|http://bioimages.vanderbilt.edu/contact/baskauf|http://bioimages.vanderbilt.edu/contact/baskauf|224687|2015-04-06T15:08:16-05:00|Person
baskaufc|Carol J. Baskauf|http://bioimages.vanderbilt.edu/contact/baskauf#baskaufc|http://www.apsu.edu/biology/fac_staff||2015-04-06T15:08:16-05:00|Person
bassettjh|James H. Bassett|http://bioimages.vanderbilt.edu/contact/baskauf#bassettjh|http://www.bassettassociates.com/firm.phtml||2015-04-06T15:08:16-05:00|Person
bassettst|Scott T. Bassett|http://bioimages.vanderbilt.edu/contact/uri#bassettst|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
bioimages|Bioimages|http://biocol.org/urn:lsid:biocol.org:col:35115|http://bioimages.vanderbilt.edu/|224688|2015-04-06T15:08:16-05:00|Organization
bishopa|Andrea Bishop|http://bioimages.vanderbilt.edu/contact/uri#bishopa|http://www.tn.gov/environment/na/contact.shtml||2015-04-06T15:08:16-05:00|Person
chesterew|Edward W. Chester|http://bioimages.vanderbilt.edu/contact/uri#chesterew|http://www.apsu.edu/biology/fac_staff||2015-04-06T15:08:16-05:00|Person
coblea|Ashley Coble|http://bioimages.vanderbilt.edu/contact/kirchoff#coblea|http://bioimages.vanderbilt.edu/contact/kirchoff||2015-04-06T15:08:16-05:00|Person
crookd|David Crook|http://bioimages.vanderbilt.edu/contact/uri#crookd|http://www.digifeld.com/||2015-04-06T15:08:16-05:00|Person
durandp|Daniel P. Duran|http://bioimages.vanderbilt.edu/contact/uri#durandp|http://bugguide.net/user/view/1609||2015-04-06T15:08:16-05:00|Person
eickmeierwg|William G. Eickmeier|http://bioimages.vanderbilt.edu/contact/uri#eickmeierwg|http://bioimages.vanderbilt.edu/contact/uri|819854|2015-04-06T15:08:16-05:00|Person
erteltj|Jonathan Ertelt|http://bioimages.vanderbilt.edu/contact/uri#erteltj|http://sitemason.vanderbilt.edu/biosci/admin_support||2015-04-06T15:08:16-05:00|Person
eskind|Eskind Biomedical Library|http://viaf.org/viaf/126741140|http://www.mc.vanderbilt.edu/diglib/||2015-11-21T15:40:17-06:00|Organization
estesld|L. Dwayne Estes|http://bioimages.vanderbilt.edu/contact/uri#estesld|http://www.apsu.edu/field-biology/l-dwayne-estes||2015-04-06T15:08:16-05:00|Person
frankism|Michael P. Frankis|http://bioimages.vanderbilt.edu/contact/uri#frankism|http://calphotos.berkeley.edu/cgi/reviewers_query?one=T&name=Michael+Frankis||2015-04-06T15:08:16-05:00|Person
hessd|Darel Hess|http://bioimages.vanderbilt.edu/contact/uri#hessd|http://bioimages.vanderbilt.edu/contact/uri|819856|2015-04-06T15:08:16-05:00|Person
holtm|Mike Holt|http://bioimages.vanderbilt.edu/contact/uri#holtm|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
hubnerf|Friederike Hübner|http://bioimages.vanderbilt.edu/contact/uri#hubnerf|http://www.asclepidarium.de/||2015-04-06T15:08:16-05:00|Person
husvethjj|Jason J. Husveth|http://bioimages.vanderbilt.edu/contact/uri#husvethjj|http://www.ccesinc.com/||2015-04-06T15:08:16-05:00|Person
kaufmannm|Maurice J. Kaufmann|http://bioimages.vanderbilt.edu/contact/baskauf#kaufmannm|http://bioimages.vanderbilt.edu/contact/baskauf|819874|2015-04-06T15:08:16-05:00|Person
kellyl|Lisa Kelly|http://bioimages.vanderbilt.edu/contact/uri#kellyl|http://www.uncp.edu/home/kellyl/|819858|2015-04-06T15:08:16-05:00|Person
kirchoff|Bruce K. Kirchoff|http://bioimages.vanderbilt.edu/contact/kirchoff|http://www.uncg.edu/~kirchoff|99371|2015-04-06T15:08:16-05:00|Person
klipowiczs|Steven Klipowicz|http://bioimages.vanderbilt.edu/contact/uri#klipowiczs|http://www.linkedin.com/pub/steven-klipowicz/4/992/5ab||2015-04-06T15:08:16-05:00|Person
kralr|Robert Kral|http://bioimages.vanderbilt.edu/contact/uri#kralr|http://www.brit.org/about/staff||2015-04-06T15:08:16-05:00|Person
lancer|Ron Lance|http://bioimages.vanderbilt.edu/contact/uri#lancer|http://www.chimneyrockpark.com/park/specialists/nursery.php|819860|2015-04-06T15:08:16-05:00|Person
lasseignef|F. Todd Lasseigne|http://bioimages.vanderbilt.edu/contact/uri#lasseignef|http://www.ocbg.org/contact.html||2015-04-06T15:08:16-05:00|Person
masone|Emily C. Mason|http://bioimages.vanderbilt.edu/contact/kirchoff#masone|http://bioimages.vanderbilt.edu/contact/kirchoff||2015-04-06T15:08:16-05:00|Person
mathewsk|Kathy Gould Mathews|http://bioimages.vanderbilt.edu/contact/uri#mathewsk|http://www.wcu.edu/7420.asp|819862|2015-04-06T15:08:16-05:00|Person
mccormickc|Carol A. McCormick|http://bioimages.vanderbilt.edu/contact/uri#mccormickc|http://www.herbarium.unc.edu/collectors/mccormick_carolann.htm||2015-04-06T15:08:16-05:00|Person
none|public domain|http://creativecommons.org/publicdomain/zero/1.0/|http://creativecommons.org/publicdomain/zero/1.0/||2015-11-21T16:41:19-06:00|Person
raveillj|Jay A. Raveill|http://bioimages.vanderbilt.edu/contact/uri#raveillj|http://www.ucmo.edu/biology/facstaff/raveill.cfm||2015-04-06T15:08:16-05:00|Person
scheidtn|Neil Scheidt|http://bioimages.vanderbilt.edu/contact/uri#scheidtn|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
segraveska|Kari A. Segraves|http://bioimages.vanderbilt.edu/contact/uri#segraveska|http://biology.syr.edu/faculty/segraves/segraves.htm|819864|2015-04-06T15:08:16-05:00|Person
thomas|Ron Thomas|http://bioimages.vanderbilt.edu/contact/thomas|http://wildflowerlense.com/|819872|2015-04-06T15:08:16-05:00|Person
uncg|University of North Carolina at Greensboro Arboretum|http://biocol.org/urn:lsid:biocol.org:col:35269|http://biocol.org/urn:lsid:biocol.org:col:35269||2015-04-06T15:08:16-05:00|Organization
usn|University School of Nashville|http://viaf.org/viaf/134061844|http://www.usn.org/||2015-10-03T07:22:07-05:00|Organization
vanderbilt|Vanderbilt University Arboretum|http://biocol.org/urn:lsid:biocol.org:col:35259|http://vanderbilt.edu/trees/||2015-04-06T15:08:16-05:00|Organization
vannimwegenr|Ron E. VanNimwegen|http://bioimages.vanderbilt.edu/contact/uri#vannimwegenr|http://bioimages.vanderbilt.edu/contact/uri|819866|2015-04-06T15:08:16-05:00|Person
vaughnh|Harry S. Vaughn|http://bioimages.vanderbilt.edu/contact/uri#vaughnh|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
vorfeldj|Judy Vorfeld|http://bioimages.vanderbilt.edu/contact/uri#vorfeldj|http://www.digifeld.com/||2015-04-06T15:08:16-05:00|Person
weakleya|Alan S. Weakley|http://bioimages.vanderbilt.edu/contact/uri#weakleya|http://www.herbarium.unc.edu/Collectors/Weakley_Alan.htm||2015-04-06T15:08:16-05:00|Person
welchla|LinnAnn Welch|http://bioimages.vanderbilt.edu/contact/uri#welchla|http://www.nashville.gov/parks/nature/bbnc/index.asp||2015-04-06T15:08:16-05:00|Person
whittierd|Dean P. Whittier|http://bioimages.vanderbilt.edu/contact/uri#whittierd|https://medschool.mc.vanderbilt.edu/biosci/bio_fac.php?id3=921|819868|2015-04-06T15:08:16-05:00|Person
wilburb|Barbara Wilbur|http://bioimages.vanderbilt.edu/contact/uri#wilburb|http://bioimages.vanderbilt.edu/contact/uri||2015-04-06T15:08:16-05:00|Person
woodbridge|Abi Woodbridge|http://bioimages.vanderbilt.edu/contact/uri#woodbridge|http://bioimages.vanderbilt.edu/contact/uri|819870|2015-04-06T15:08:16-05:00|Person
jorgem|Maria L Jorge|http://orcid.org/0000-0003-4264-5897|https://my.vanderbilt.edu/malujorge/||2016-05-02T10:59:28-05:00|Person
grigorjj|Jordan Grigor|http://orcid.org/0000-0001-8227-0773|http://www.jordangrigor.com||2017-01-11T12:31:00-06:00|Person
streamteam|Stream Team|http://bioimages.vanderbilt.edu/contact/streamteam|http://www.vanderbilt.edu/cso/ssmv/||2017-01-11T13:39:48-06:00|Group
suttonwb|William B. Sutton|http://bioimages.vanderbilt.edu/contact/uri#suttonwb|http://bioimages.vanderbilt.edu/contact/uri||2017-04-19T12:55:18-05:00|Person
murphrees|Steve Murphree|http://bioimages.vanderbilt.edu/contact/uri#murphrees|http://www.belmont.edu/biology/faculty__staff/murphree_steve.html||2017-05-11T10:56:06-05:00|Person
withersd|David Withers|http://bioimages.vanderbilt.edu/contact/uri#withersd|http://www.natureserve.org/profile/1071||2017-06-04T08:06:28-05:00|Person
hittr|Richard Hitt, Ph.D.|http://bioimages.vanderbilt.edu/contact/uri#hittr|http://www.richardhitt.com/||2018-02-20T20:18:45-06:00|Person
nesomg|Guy L. Nesom|http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/30eab90e-2f71-40f6-b1fd-066c8b280c07|http://guynesom.com/||2018-02-20T20:46:22-06:00|Person
brichettoj|Joanna Brichetto|http://bioimages.vanderbilt.edu/contact/uri#brichettoj|https://joannabrichetto.com/||2018-03-04T09:49:50-06:00|Person
derasaris|Shrey Derasari|http://orcid.org/0000-0003-3322-832X|http://bioimages.vanderbilt.edu/contact/uri#derasaris||2019-09-26T21:02:16-05:00|Person
nairv|Varsha M. Nair|http://orcid.org/0000-0001-8800-9701|http://bioimages.vanderbilt.edu/contact/uri#nairv||2019-09-26T21:04:13-05:00|Person
youngr|Robin Young|http://orcid.org/0000-0001-6856-2569|http://bioimages.vanderbilt.edu/contact/uri#youngr||2019-09-26T21:04:57-05:00|Person
ruckers|Summer Rucker|http://orcid.org/0000-0001-9015-4465|http://bioimages.vanderbilt.edu/contact/uri#ruckers||2019-09-26T21:05:51-05:00|Person
sullivanc|Cole Sullivan|http://orcid.org/0000-0002-2749-4413|http://bioimages.vanderbilt.edu/contact/uri#||2019-09-26T21:06:37-05:00|Person
chena|Alice Siqi Chen|http://orcid.org/0000-0002-3175-2446|http://bioimages.vanderbilt.edu/contact/uri#chena||2019-09-26T21:07:17-05:00|Person
