dsw_identified|identifiedBy|dwc_dateIdentified|dwc_identificationRemarks|tsnID|nameAccordingToID|dcterms_modified|suppress
http://bioimages.vanderbilt.edu/ind-kaufmannm/ke174|kaufmannm|1974||18041|kaufmannm|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/vanderbilt/10-217|baskauf|2002-06-17||18041|gleason1991|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/15759|baskauf|2002-09-21||18041|gleason1991|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/10777|baskauf|2002-04-29||24848|gleason1991|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/19783|baskauf|2003-04-09||42525|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/35617|baskauf|2004-06-15||42525|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/39596|baskauf|2005-05-08||42525|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-whittierd/dw431|whittierd|2004|Identification date approximate.|525635|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/12067|baskauf|2002-06-08||525635|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/26968|baskauf|2003-06-06||525635|fna1993|2015-07-31T15:56:37-05:00|
http://bioimages.vanderbilt.edu/ind-baskauf/40150|baskauf|2005-06-18||525635|fna1993|2015-07-31T15:56:37-05:00|
