local identifier,highres sap url
andersonwb/wa295,http://www.morphbank.net/?id=820652&amp;imgType=jpeg
andersonwb/wa309,http://www.morphbank.net/?id=820653&amp;imgType=jpeg
andersonwb/wa310,http://www.morphbank.net/?id=820654&amp;imgType=jpeg
barberr/rb427,http://bioimages.vanderbilt.edu/highres/sopt3-wppa240094rb427.jpg
barberr/rb428,http://bioimages.vanderbilt.edu/highres/sopt3-lfpa240098rb428.jpg
barberr/rb429,http://bioimages.vanderbilt.edu/highres/sopt3-frpa240100rb429.jpg
baskauf/00000,http://www.morphbank.net/?id=580688&amp;imgType=jpeg
baskauf/00001,http://www.morphbank.net/?id=580687&amp;imgType=jpeg
baskauf/00117,http://www.morphbank.net/?id=580883&amp;imgType=jpeg
baskauf/01012,http://www.morphbank.net/?id=580952&amp;imgType=jpeg
baskauf/04005,http://www.morphbank.net/?id=581016&amp;imgType=jpeg
baskauf/04026,http://www.morphbank.net/?id=581019&amp;imgType=jpeg
baskauf/04101,http://www.morphbank.net/?id=581017&amp;imgType=jpeg
baskauf/04102,http://www.morphbank.net/?id=581021&amp;imgType=jpeg
baskauf/04103,http://www.morphbank.net/?id=581020&amp;imgType=jpeg
baskauf/04106,http://www.morphbank.net/?id=581018&amp;imgType=jpeg
baskauf/04302,http://www.morphbank.net/?id=580681&amp;imgType=jpeg
baskauf/04303,http://www.morphbank.net/?id=580682&amp;imgType=jpeg
baskauf/04313,http://www.morphbank.net/?id=580683&amp;imgType=jpeg
baskauf/04712,http://www.morphbank.net/?id=580684&amp;imgType=jpeg
baskauf/10111,http://www.morphbank.net/?id=580768&amp;imgType=jpeg
baskauf/10113,http://www.morphbank.net/?id=580769&amp;imgType=jpeg
baskauf/10130,http://www.morphbank.net/?id=580822&amp;imgType=jpeg
baskauf/10131,http://www.morphbank.net/?id=580821&amp;imgType=jpeg
baskauf/10134,http://www.morphbank.net/?id=580816&amp;imgType=jpeg
baskauf/10135,http://www.morphbank.net/?id=580819&amp;imgType=jpeg
baskauf/10138,http://www.morphbank.net/?id=580818&amp;imgType=jpeg
baskauf/10139,http://www.morphbank.net/?id=580820&amp;imgType=jpeg
baskauf/10147,http://www.morphbank.net/?id=580817&amp;imgType=jpeg
baskauf/10148,http://www.morphbank.net/?id=580823&amp;imgType=jpeg
baskauf/10205,http://www.morphbank.net/?id=580986&amp;imgType=jpeg
baskauf/10206,http://www.morphbank.net/?id=580802&amp;imgType=jpeg
baskauf/10207,http://www.morphbank.net/?id=580806&amp;imgType=jpeg
baskauf/10208,http://www.morphbank.net/?id=580988&amp;imgType=jpeg
baskauf/10209,http://www.morphbank.net/?id=580987&amp;imgType=jpeg
baskauf/10213,http://www.morphbank.net/?id=581041&amp;imgType=jpeg
baskauf/10215,http://www.morphbank.net/?id=580985&amp;imgType=jpeg
baskauf/10216,http://www.morphbank.net/?id=580955&amp;imgType=jpeg
baskauf/10217,http://www.morphbank.net/?id=580956&amp;imgType=jpeg
baskauf/10218,http://www.morphbank.net/?id=581039&amp;imgType=jpeg
baskauf/10220,http://www.morphbank.net/?id=581192&amp;imgType=jpeg
baskauf/10221,http://www.morphbank.net/?id=581038&amp;imgType=jpeg
baskauf/10222,http://www.morphbank.net/?id=580797&amp;imgType=jpeg
baskauf/10224,http://www.morphbank.net/?id=580795&amp;imgType=jpeg
baskauf/10225,http://www.morphbank.net/?id=581074&amp;imgType=jpeg
baskauf/10232,http://www.morphbank.net/?id=581022&amp;imgType=jpeg
baskauf/10233,http://www.morphbank.net/?id=581023&amp;imgType=jpeg
baskauf/10258,http://www.morphbank.net/?id=580767&amp;imgType=jpeg
baskauf/10262,http://www.morphbank.net/?id=580765&amp;imgType=jpeg
baskauf/10265,http://www.morphbank.net/?id=580766&amp;imgType=jpeg
baskauf/10329,http://www.morphbank.net/?id=580796&amp;imgType=jpeg
baskauf/10332,http://www.morphbank.net/?id=580928&amp;imgType=jpeg
baskauf/10333,http://www.morphbank.net/?id=580930&amp;imgType=jpeg
baskauf/10336,http://www.morphbank.net/?id=581085&amp;imgType=jpeg
baskauf/10338,http://www.morphbank.net/?id=581086&amp;imgType=jpeg
baskauf/10339,http://www.morphbank.net/?id=580805&amp;imgType=jpeg
baskauf/10341,http://www.morphbank.net/?id=581232&amp;imgType=jpeg
baskauf/10343,http://www.morphbank.net/?id=581229&amp;imgType=jpeg
baskauf/10344,http://www.morphbank.net/?id=581230&amp;imgType=jpeg
baskauf/10345,http://www.morphbank.net/?id=580948&amp;imgType=jpeg
baskauf/10365,http://www.morphbank.net/?id=580773&amp;imgType=jpeg
baskauf/10374,http://www.morphbank.net/?id=580696&amp;imgType=jpeg
baskauf/10376,http://www.morphbank.net/?id=580694&amp;imgType=jpeg
baskauf/10377,http://www.morphbank.net/?id=580833&amp;imgType=jpeg
baskauf/10380,http://www.morphbank.net/?id=581231&amp;imgType=jpeg
baskauf/10386,http://www.morphbank.net/?id=580695&amp;imgType=jpeg
baskauf/10392,http://www.morphbank.net/?id=580801&amp;imgType=jpeg
baskauf/10393,http://www.morphbank.net/?id=580800&amp;imgType=jpeg
baskauf/10406,http://www.morphbank.net/?id=581077&amp;imgType=jpeg
baskauf/10407,http://www.morphbank.net/?id=581078&amp;imgType=jpeg
baskauf/10414,http://www.morphbank.net/?id=581133&amp;imgType=jpeg
baskauf/10415,http://www.morphbank.net/?id=581132&amp;imgType=jpeg
baskauf/10419,http://www.morphbank.net/?id=581127&amp;imgType=jpeg
baskauf/10420,http://www.morphbank.net/?id=581128&amp;imgType=jpeg
baskauf/10425,http://www.morphbank.net/?id=580813&amp;imgType=jpeg
baskauf/10427,http://www.morphbank.net/?id=581040&amp;imgType=jpeg
baskauf/10430,http://www.morphbank.net/?id=580879&amp;imgType=jpeg
baskauf/10431,http://www.morphbank.net/?id=580880&amp;imgType=jpeg
baskauf/10432,http://www.morphbank.net/?id=580868&amp;imgType=jpeg
baskauf/10433,http://www.morphbank.net/?id=580935&amp;imgType=jpeg
baskauf/10434,http://www.morphbank.net/?id=581239&amp;imgType=jpeg
