subjectIRI|property|objectIRI|objectType|objectDescription|dcterms_modified
http://bioimages.vanderbilt.edu/ind-kirchoff/mason01|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592748#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592748|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason02|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592814#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592814|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason03|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592831#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592831|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason04|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592812#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592812|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason09|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592808#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592808|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason10|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592803#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592803|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason13|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592807#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592807|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason14|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592806#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592806|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason15|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592802#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592802|2015-05-18T14:11:00-05:00
http://bioimages.vanderbilt.edu/ind-kirchoff/mason16|dsw:hasOccurrence|http://bioimages.vanderbilt.edu/specimen/ncu592801#occ|http://rs.tdwg.org/dwc/terms/Occurrence|Occurrence documented by a specimen in University of North Carolina herbarium accession 592801|2015-05-18T14:11:00-05:00
