ubioID|dcterms_identifier|dwc_kingdom|dwc_class|dwc_order|dwc_family|dwc_genus|dwc_specificEpithet|dwc_infraspecificEpithet|dwc_taxonRank|dwc_scientificNameAuthorship|dwc_vernacularName|dcterms_modified
9479554|18063|Plantae|Magnoliopsida||||||class||dicotyledon|2015-09-21T18:09:43-05:00
468218|181826|Plantae|Pinopsida|Pinales|Pinaceae|Abies|concolor||species|(Gord. & Glend.) Lindl. ex Hildebr.|white fir|2015-09-21T18:09:43-05:00
468221|181829|Plantae|Pinopsida|Pinales|Pinaceae|Abies|fraseri||species|(Pursh) Poir.|Fraser fir|2015-09-21T18:09:43-05:00
468859|183284|Plantae|Pinopsida|Pinales|Pinaceae|Abies|grandis||species|(Douglas ex D. Don) Lindl.|grand fir|2015-09-21T18:09:43-05:00
468222|181830|Plantae|Pinopsida|Pinales|Pinaceae|Abies|lasiocarpa||species|(Hook.) Nutt.|subalpine fir|2015-09-21T18:09:43-05:00
468225|181834|Plantae|Pinopsida|Pinales|Pinaceae|Abies|magnifica||species|A. Murray bis|California red fir|2015-09-21T18:09:43-05:00
5865975|26418|Plantae|Magnoliopsida|Fabales|Fabaceae|Acacia|angustissima||species|(Mill.) Kuntze|prairie acacia|2015-09-21T18:09:43-05:00
454386|26422|Plantae|Magnoliopsida|Fabales|Fabaceae|Acacia|constricta||species|Benth.|whitethorn acacia|2015-09-21T18:09:43-05:00
454390|26428|Plantae|Magnoliopsida|Fabales|Fabaceae|Acacia|greggii||species|A. Gray|catclaw acacia|2015-09-21T18:09:43-05:00
468384|182079|Plantae|Magnoliopsida|Fabales|Fabaceae|Acacia|koa||species|A. Gray|koa|2015-09-21T18:09:43-05:00
26433|26433|Plantae|Magnoliopsida|Fabales|Fabaceae|Acacia|neovernicosa||species|Isely|viscid acacia|2015-09-21T18:09:43-05:00
455756|28189|Plantae|Magnoliopsida|Euphorbiales|Euphorbiaceae|Acalypha|ostryifolia||species|Riddell|pineland threeseed mercury|2015-09-21T18:09:43-05:00
456221|28740|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|circinatum||species|Pursh|vine maple|2015-09-21T18:09:43-05:00
469084|183678|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|glabrum|douglasii|variety|Torr.|Douglas maple|2015-09-21T18:09:43-05:00
456226|28748|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|macrophyllum||species|Pursh|bigleaf maple|2015-09-21T18:09:43-05:00
456227|28749|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|negundo||species|L.|boxelder|2015-09-21T18:09:43-05:00
468430|182135|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|nigrum||species|Michx. f.|black maple|2015-09-21T18:09:43-05:00
456229|28754|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|pensylvanicum||species|L.|striped maple|2015-09-21T18:09:43-05:00
456230|28755|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|platanoides||species|L.|Norway maple|2015-09-21T18:09:43-05:00
456216|28728|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|rubrum||species|L.|red maple|2015-09-21T18:09:43-05:00
456232|28757|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|saccharinum||species|L.|silver maple|2015-09-21T18:09:43-05:00
456218|28731|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|saccharum||species|Marshall|sugar maple|2015-09-21T18:09:43-05:00
456233|28758|Plantae|Magnoliopsida|Sapindales|Aceraceae|Acer|spicatum||species|Lam.|mountain maple|2015-09-21T18:09:43-05:00
461691|35423|Plantae|Magnoliopsida|Asterales|Asteraceae|Achillea|millefolium||species|L.|common yarrow|2015-09-21T18:09:43-05:00
480528|525109|Plantae|Liliopsida|Cyperales|Poaceae|Achnatherum|occidentale|occidentale|subspecies|(Thurb.) Barkworth|western needlegrass|2015-09-21T18:09:43-05:00
447855|18722|Plantae|Magnoliopsida|Ranunculales|Ranunculaceae|Actaea|pachypoda||species|Elliott|white baneberry|2015-09-21T18:09:43-05:00
446686|17311|Plantae|Filicopsida|Polypodiales|Pteridaceae|Adiantum|pedatum||species|L.|northern maidenhair|2015-09-21T18:09:43-05:00
456205|28716|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|californica||species|(Spach) Nutt.|California buckeye|2015-09-21T18:09:43-05:00
456206|28717|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|flava||species|Aiton|yellow buckeye|2015-09-21T18:09:43-05:00
456207|28718|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|glabra||species|Willd.|Ohio buckeye|2015-09-21T18:09:43-05:00
456208|28719|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|glabra|glabra|variety|Willd.|Ohio buckeye|2015-09-21T18:09:43-05:00
456210|28721|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|hippocastanum||species|L.|horse chestnut|2015-09-21T18:09:43-05:00
456211|28722|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|parviflora||species|Walter|bottlebrush buckeye|2015-09-21T18:09:43-05:00
456212|28723|Plantae|Magnoliopsida|Sapindales|Hippocastanaceae|Aesculus|pavia||species|L.|red buckeye|2015-09-21T18:09:43-05:00
459797|33036|Plantae|Magnoliopsida|Scrophulariales|Scrophulariaceae|Agalinis|tenuifolia||species|(Vahl) Raf.|slenderleaf false foxglove|2015-09-21T18:09:43-05:00
459293|32443|Plantae|Magnoliopsida|Lamiales|Lamiaceae|Agastache|nepetoides||species|(L.) Kuntze|yellow giant hyssop|2015-09-21T18:09:43-05:00
468812|182682|Plantae|Liliopsida|Liliales|Agavaceae|Agave|palmeri||species|Engelm.|Palmer's century plant|2015-09-21T18:09:43-05:00
462345|36466|Plantae|Magnoliopsida|Asterales|Asteraceae|Ageratina|altissima||species|(L.) R.M. King & H. Rob.|white snakeroot|2015-09-21T18:09:43-05:00
468602|182398|Plantae|Magnoliopsida|Asterales|Asteraceae|Ageratina|altissima|altissima|variety|(L.) R.M. King & H. Rob.|white snakeroot|2015-09-21T18:09:43-05:00
453221|25099|Plantae|Magnoliopsida|Rosales|Rosaceae|Agrimonia|pubescens||species|Wallr.|soft agrimony|2015-09-21T18:09:43-05:00
453222|25100|Plantae|Magnoliopsida|Rosales|Rosaceae|Agrimonia|rostellata||species|Wallr.|beaked agrimony|2015-09-21T18:09:43-05:00
456294|28827|Plantae|Magnoliopsida|Sapindales|Simaroubaceae|Ailanthus|altissima||species|(Mill.) Swingle|tree of heaven|2015-09-21T18:09:43-05:00
454662|26449|Plantae|Magnoliopsida|Fabales|Fabaceae|Albizia|julibrissin||species|Durazz.|silktree|2015-09-21T18:09:43-05:00
469314|184481|Plantae|Magnoliopsida|Capparales|Brassicaceae|Alliaria|petiolata||species|(M. Bieb.) Cavara & Grande|garlic mustard|2015-09-21T18:09:43-05:00
467209|42635|Plantae|Liliopsida|Liliales|Liliaceae|Allium|canadense||species|L.|meadow garlic|2015-09-21T18:09:43-05:00
468746|182590|Plantae|Liliopsida|Liliales|Liliaceae|Allium|canadense|canadense|variety|L.|meadow garlic|2015-09-21T18:09:43-05:00
467291|42721|Plantae|Liliopsida|Liliales|Liliaceae|Allium|cernuum||species|Roth|nodding onion|2015-09-21T18:09:43-05:00
467211|42637|Plantae|Liliopsida|Liliales|Liliaceae|Allium|vineale||species|L.|wild garlic|2015-09-21T18:09:43-05:00
448493|19474|Plantae|Magnoliopsida|Fagales|Betulaceae|Alnus|rubra||species|Bong.|red alder|2015-09-21T18:09:43-05:00
448488|19468|Plantae|Magnoliopsida|Fagales|Betulaceae|Alnus|serrulata||species|(Aiton) Willd.|hazel alder|2015-09-21T18:09:43-05:00
449558|20770|Plantae|Magnoliopsida|Caryophyllales|Amaranthaceae|Alternanthera|philoxeroides||species|(Mart.) Griseb.|alligatorweed|2015-09-21T18:09:43-05:00
462373|36496|Plantae|Magnoliopsida|Asterales|Asteraceae|Ambrosia|artemisiifolia||species|L.|annual ragweed|2015-09-21T18:09:43-05:00
462376|36500|Plantae|Magnoliopsida|Asterales|Asteraceae|Ambrosia|bidentata||species|Michx.|lanceleaf ragweed|2015-09-21T18:09:43-05:00
462381|36505|Plantae|Magnoliopsida|Asterales|Asteraceae|Ambrosia|deltoidea||species|(Torr.) Payne|triangle bur ragweed|2015-09-21T18:09:43-05:00
