dcterms_identifier|dwc_establishmentMeans|dcterms_modified|dwc_organismRemarks|dwc_collectionCode|dwc_catalogNumber|dwc_georeferenceRemarks|dwc_decimalLatitude|dwc_decimalLongitude|geo_alt|dwc_organismName|dwc_organismScope|cameo|notes|suppress
http://bioimages.vanderbilt.edu/ind-andersonwb/wa295|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|29.04236|-113.5065|||multicellular organism|http://bioimages.vanderbilt.edu/andersonwb/wa295||
http://bioimages.vanderbilt.edu/ind-andersonwb/wa310|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|29.04236|-113.5065|||multicellular organism|http://bioimages.vanderbilt.edu/andersonwb/wa310||
http://bioimages.vanderbilt.edu/ind-barberr/rb427|adventive|2015-07-31T15:56:37-05:00|adventive|||Location determined from Google maps.|36.05455|-86.7355|||multicellular organism|http://bioimages.vanderbilt.edu/barberr/rb427||
http://bioimages.vanderbilt.edu/ind-baskauf/00117|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06291|-86.80984|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/00117||
http://bioimages.vanderbilt.edu/ind-baskauf/04026|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|19.4674|-155.3504|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/04026||
http://bioimages.vanderbilt.edu/ind-baskauf/04103|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|19.42451|-155.2107|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/04103||
http://bioimages.vanderbilt.edu/ind-baskauf/04302|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|19.64032|-155.3653|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/04313||
http://bioimages.vanderbilt.edu/ind-baskauf/04712|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|19.46271|-155.3448|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/04712||
http://bioimages.vanderbilt.edu/ind-baskauf/10111|managed|2015-07-31T15:56:37-05:00|Wisconsin Fast Plant cultivar|||Location determined from Google maps.|36.14524|-86.80109|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10111||
http://bioimages.vanderbilt.edu/ind-baskauf/10113|managed|2015-07-31T15:56:37-05:00|Wisconsin Fast Plant cultivar|||Location determined from Google maps.|36.14524|-86.80109|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10113||
http://bioimages.vanderbilt.edu/ind-baskauf/10225|managed|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.38358|-87.00745|199||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/15662||
http://bioimages.vanderbilt.edu/ind-baskauf/10329|managed|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.14604|-86.79847|160||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10943||
http://bioimages.vanderbilt.edu/ind-baskauf/10332|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.37342|-86.98276|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10332||
http://bioimages.vanderbilt.edu/ind-baskauf/10333|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.36619|-86.95802|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10333||
http://bioimages.vanderbilt.edu/ind-baskauf/10336|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.37707|-86.99696|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10336||
http://bioimages.vanderbilt.edu/ind-baskauf/10338|native|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.36753|-86.96864|162||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10338||
http://bioimages.vanderbilt.edu/ind-baskauf/10341|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14472|-86.8015|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10341||
http://bioimages.vanderbilt.edu/ind-baskauf/10365|native|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.38362|-87.00687|184||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10365||
http://bioimages.vanderbilt.edu/ind-baskauf/10374|managed|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14472|-86.8015|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10374||
http://bioimages.vanderbilt.edu/ind-baskauf/10414|native|2015-07-31T15:56:37-05:00|Died about 2006.|||Location determined by an independent GPS measurement.|36.38385|-87.00695|187||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/12538||
http://bioimages.vanderbilt.edu/ind-baskauf/10419|native|2015-07-31T15:56:37-05:00|Cut down by right-of-way crew in about 2011.|||Location determined by an independent GPS measurement.|36.38467|-87.00734|208||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/54517||
http://bioimages.vanderbilt.edu/ind-baskauf/10432|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38382|-87.00716|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/29773||
http://bioimages.vanderbilt.edu/ind-baskauf/10444|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06353|-86.80315|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10444||
http://bioimages.vanderbilt.edu/ind-baskauf/10454|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.06353|-86.80315|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10454||
http://bioimages.vanderbilt.edu/ind-baskauf/10491|native|2015-07-31T15:56:37-05:00|Individual represents roadside population in bloom.|||Location determined by an independent GPS measurement.|36.33236|-86.90332|||colony|http://bioimages.vanderbilt.edu/baskauf/10491||
http://bioimages.vanderbilt.edu/ind-baskauf/10493|native|2015-07-31T15:56:37-05:00|Individual represents roadside population in bloom.|||Location determined by an independent GPS measurement.|36.33236|-86.90332|||colony|http://bioimages.vanderbilt.edu/baskauf/10493||
http://bioimages.vanderbilt.edu/ind-baskauf/10494|native|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.33236|-86.90332|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10494||
http://bioimages.vanderbilt.edu/ind-baskauf/10497|native|2015-07-31T15:56:37-05:00||||Location determined by an independent GPS measurement.|36.33236|-86.90332|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10497||
http://bioimages.vanderbilt.edu/ind-baskauf/10512|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38381|-87.00726|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10512||
http://bioimages.vanderbilt.edu/ind-baskauf/10541|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38348|-87.00696|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10541||
http://bioimages.vanderbilt.edu/ind-baskauf/10543|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38348|-87.00696|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10543||
http://bioimages.vanderbilt.edu/ind-baskauf/10545|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38348|-87.00696|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10545||
http://bioimages.vanderbilt.edu/ind-baskauf/10548|adventive|2015-07-31T15:56:37-05:00|adventive|||Location determined from Google maps.|36.3836|-87.00753|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10549||
http://bioimages.vanderbilt.edu/ind-baskauf/10552|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14625|-86.8002|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10552||
http://bioimages.vanderbilt.edu/ind-baskauf/10624|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38344|-87.00708|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10626||
http://bioimages.vanderbilt.edu/ind-baskauf/10629|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38347|-87.00675|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10629||
http://bioimages.vanderbilt.edu/ind-baskauf/10635|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.39778|-87.02754|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10635||
http://bioimages.vanderbilt.edu/ind-baskauf/10643|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.3837|-87.00724|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10643||
http://bioimages.vanderbilt.edu/ind-baskauf/10655|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38366|-87.00723|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10655||
http://bioimages.vanderbilt.edu/ind-baskauf/10658|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38356|-87.00707|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10658||
http://bioimages.vanderbilt.edu/ind-baskauf/10661|naturalised|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.14602|-86.79836|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10661||
http://bioimages.vanderbilt.edu/ind-baskauf/10747|native|2015-07-31T15:56:37-05:00||||Location determined from Google maps.|36.38351|-87.00703|||multicellular organism|http://bioimages.vanderbilt.edu/baskauf/10747||
