ubioID,tsnID,class,order,family,primula,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,vernacularName,changed
426486,1147,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,commune,,species,Vaucher Ex Bornet and Flahault,star jelly,0
235943,14002,Ascomycetes,Lecanorales,Bacidiaceae,Bacidia,,,genus,,dotted lichen,0
236233,14005,Ascomycetes,Lecanorales,Physciaceae,Buellia,,,genus,,disc lichen,0
236200,14009,Ascomycetes,Lecanorales,Parmeliaceae,Parmelia,,,genus,,shield lichen,0
440554,14010,Ascomycetes,Lecanorales,Parmeliaceae,Parmelia,saxatilis,,species,(L.) Ach.,shield lichen,0
440555,14011,Ascomycetes,Lecanorales,Parmeliaceae,Parmelia,sulcata,,species,Taylor,shield lichen,0
236208,14012,Ascomycetes,Lecanorales,Parmeliaceae,Platismatia,,,genus,,ragged lichen,0
440556,14013,Ascomycetes,Lecanorales,Parmeliaceae,Platismatia,lacunosa,,species,(Ach.) W.L. Culb. & C.F. Culb.,ragged lichen,0
236086,14015,Ascomycetes,Lecanorales,Lecanoraceae,Lecanora,,,genus,,rim lichen,0
440557,14016,Ascomycetes,Lecanorales,Lecanoraceae,Lecanora,aleutica,,species,H. Magn.,Aleutian rim lichen,0
440558,14017,Ascomycetes,Lecanorales,Lecanoraceae,Lecanora,straminea,,species,Ach.,rim lichen,0
236374,14018,Ascomycetes,Lecanorales,Pertusariaceae,Ochrolechia,,,genus,,crabseye lichen,0
440559,14019,Ascomycetes,Lecanorales,Pertusariaceae,Ochrolechia,frigida,,species,(Sw.) Lynge,cold crabseye lichen,0
236375,14021,Ascomycetes,Lecanorales,Pertusariaceae,Pertusaria,,,genus,,pore lichen,0
236246,14024,Ascomycetes,Lecanorales,Physciaceae,Physcia,,,genus,,rosette lichen,0
440561,14025,Ascomycetes,Lecanorales,Physciaceae,Physcia,caesia,,species,(Hoffm.) Furnr.,rosette lichen,0
440562,14026,Ascomycetes,Lecanorales,Physciaceae,Physcia,dubia,,species,(Hoffm.) Lettau,rosette lichen,0
236005,14028,Ascomycetes,Lecanorales,Stereocaulaceae,Pilophorus,,,genus,,nail lichen,0
440563,14029,Ascomycetes,Lecanorales,Stereocaulaceae,Pilophorus,acicularis,,species,(Ach.) Th. Fr.,nail lichen,0
236357,14031,Ascomycetes,Peltigerales,Peltigeraceae,Peltigera,,,genus,,felt lichen,0
440564,14032,Ascomycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,,species,(Ach.) Nyl.,membraneous felt lichen,0
236389,14035,Ascomycetes,Teloschistales,Teloschistaceae,Caloplaca,,,genus,,orange lichen,0
440566,14036,Ascomycetes,Teloschistales,Teloschistaceae,Caloplaca,granulosa,,species,(Mull. Arg.) Jatta,granulose orange lichen,0
236281,14041,Ascomycetes,Lecanorales,Ramalinaceae,Ramalina,,,genus,,cartilage lichen,0
440567,14042,Ascomycetes,Lecanorales,Ramalinaceae,Ramalina,almquistii,,species,Vain.,Almquist's cartilage lichen,0
440568,14043,Ascomycetes,Lecanorales,Ramalinaceae,Ramalina,scoparia,,species,Vain.,cartilage lichen,0
235674,14048,Ascomycetes,Verrucariales,Verrucariaceae,Thelidium,,,genus,,thelidium lichen,0
440569,14049,Ascomycetes,Verrucariales,Verrucariaceae,Thelidium,areolatum,,species,J.W. Thomson,thelidium lichen,0
235677,14050,Ascomycetes,Verrucariales,Verrucariaceae,Verrucaria,,,genus,,wart lichen,0
440570,14051,Ascomycetes,Verrucariales,Verrucariaceae,Verrucaria,striatula,,species,Wahlenb.,wart lichen,0
445334,14208,Hepaticopsida,Calobryales,Haplomitriaceae,Haplomitrium,,,genus,,,0
445335,14209,Hepaticopsida,Calobryales,Haplomitriaceae,Haplomitrium,hookeri,,species,(Sm.) Nees,,0
445343,14218,Hepaticopsida,Jungermanniales,Herbertaceae,Herbertus,,,genus,,,0
445344,14219,Hepaticopsida,Jungermanniales,Herbertaceae,Herbertus,aduncus,,species,(Dicks.) A. Gray,,0
445347,14231,Hepaticopsida,Jungermanniales,Herbertaceae,Herbertus,hawaiiensis,,species,H.A. Mill.,,0
445348,14232,Hepaticopsida,Jungermanniales,Herbertaceae,Herbertus,himalayanus,,species,(Steph.) H.A. Mill.,,0
445349,14233,Hepaticopsida,Jungermanniales,Herbertaceae,Herbertus,stramineus,,species,(Dumort.) Trevis.,,0
445361,14246,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Pseudolepicolea,,,genus,,,0
445362,14247,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Pseudolepicolea,fryei,,species,(Perss.) Grolle & Ando,,0
445364,14252,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Blepharostoma,,,genus,,,0
445364,14253,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Blepharostoma,arachnoideum,,species,M. Howe,,0
445364,14254,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Blepharostoma,trichophyllum,,species,(L.) Dumort.,,0
445364,14255,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Blepharostoma,trichophyllum,trichophyllum,subspecies,(L.) Dumort.,,0
445364,14256,Hepaticopsida,Jungermanniales,Pseudolepicoleaceae,Blepharostoma,trichophyllum,brevirete,subspecies,(L.) Dumort.,,0
267631,14272,Hepaticopsida,Jungermanniales,Mastigophoraceae,Mastigophora,,,genus,,,0
445383,14273,Hepaticopsida,Jungermanniales,Mastigophoraceae,Mastigophora,woodsii,,species,(Hook.) Nees,,0
445388,14279,Hepaticopsida,Jungermanniales,Ptilidiaceae,Ptilidium,,,genus,,,0
445389,14280,Hepaticopsida,Jungermanniales,Ptilidiaceae,Ptilidium,californicum,,species,(Austin) Pearson,,0
445390,14281,Hepaticopsida,Jungermanniales,Ptilidiaceae,Ptilidium,ciliare,,species,(L.) Hampe,,0
445391,14283,Hepaticopsida,Jungermanniales,Ptilidiaceae,Ptilidium,pulcherrimum,,species,(Weber) Vain.,,0
445398,14292,Hepaticopsida,Jungermanniales,Trichocoleaceae,Trichocolea,,,genus,,,0
445399,14293,Hepaticopsida,Jungermanniales,Trichocoleaceae,Trichocolea,tomentella,,species,(Ehrh.) Dumort.,,0
